date,temp_max,temp_min,wind_speed,rain_sum,precipitation_sum
2025-12-12,7.8,5.9,21.0,1.0,1.0
2025-12-13,5.7,-2.8,22.9,0.3,0.3
2025-12-14,0.2,-2.6,11.5,0.0,3.9
2025-12-15,3.7,-1.1,13.2,1.1,1.6
2025-12-16,2.3,0.6,10.9,0.0,0.0
2025-12-17,3.0,0.6,12.4,0.0,0.0
2025-12-18,4.8,0.2,11.4,0.0,0.0
2025-12-19,1.3,0.0,5.9,0.0,0.0
2025-12-20,0.5,-0.7,7.8,0.0,0.0
2025-12-21,1.2,-0.2,11.0,0.5,0.6
2025-12-22,3.8,0.4,13.8,0.2,0.2
2025-12-23,1.6,-2.8,13.9,0.0,1.2
2025-12-24,-4.1,-8.9,13.1,0.0,0.0
2025-12-25,-2.9,-10.9,16.5,0.0,0.0
2025-12-26,0.9,-5.8,22.0,0.4,3.6
2025-12-27,0.9,0.2,21.4,0.5,2.0
2025-12-28,1.0,-0.9,26.1,0.0,5.2
2025-12-29,-0.2,-4.5,22.4,0.0,3.1
2025-12-30,-0.4,-5.3,21.0,0.0,1.5
2025-12-31,-4.6,-7.1,19.1,0.0,2.1
2026-01-01,-6.3,-13.4,16.4,0.0,0.3
2026-01-02,0.1,-7.7,20.1,0.1,3.0
2026-01-03,0.4,-3.2,16.9,0.0,0.5
2026-01-04,-1.1,-5.5,16.7,0.0,1.0
2026-01-05,-4.0,-8.7,13.7,0.0,0.0
2026-01-06,-0.6,-5.6,20.8,1.8,9.7
2026-01-07,-0.7,-2.2,12.7,1.1,1.7
2026-01-08,1.1,-3.3,16.1,12.3,16.1
2026-01-09,-2.0,-8.4,21.0,0.2,4.7
2026-01-10,-8.6,-13.1,15.7,0.0,0.1
2026-01-11,-10.9,-17.6,11.4,0.0,0.0
2026-01-12,-11.9,-15.1,9.5,0.0,0.0
2026-01-13,-10.6,-16.8,7.8,0.0,0.6
2026-01-14,-10.6,-15.6,7.8,0.0,0.1
2026-01-15,-12.6,-18.1,9.0,0.0,0.0
2026-01-16,-11.6,-17.4,10.1,0.0,0.0
2026-01-17,-10.6,-16.1,12.1,0.0,0.0
2026-01-18,-11.8,-18.8,8.7,0.0,0.0
2026-01-19,-10.9,-16.8,5.9,0.0,0.0
2026-01-20,-7.3,-15.8,11.9,0.0,0.0
2026-01-21,-7.8,-14.9,11.1,0.0,0.0
2026-01-22,-3.4,-10.9,14.2,0.0,0.0
2026-01-23,-5.1,-8.9,14.6,0.0,1.3
2026-01-24,-8.5,-13.5,11.1,0.0,0.0
2026-01-25,-8.8,-12.9,13.3,0.1,0.1
2026-01-26,-3.0,-8.6,22.2,1.2,1.5
2026-01-27,-3.5,-5.0,19.3,4.8,4.8
2026-01-28,0.8,-4.7,9.9,1.8,5.0
2026-01-29,0.9,-2.5,15.7,0.4,2.5
2026-01-30,-3.5,-11.8,18.5,0.0,0.3
2026-01-31,-10.2,-13.5,20.7,0.0,0.0
2026-02-01,-12.9,-18.4,13.2,0.0,0.0
2026-02-02,-14.4,-21.6,11.8,0.0,0.0
2026-02-03,-11.9,-21.4,10.1,0.0,0.0
2026-02-04,-8.0,-20.7,17.1,0.0,1.5
2026-02-05,-6.6,-7.8,20.7,0.0,5.1
2026-02-06,-6.9,-8.2,17.9,0.0,0.5
2026-02-07,-4.5,-6.7,9.0,0.0,5.5
2026-02-08,-5.2,-8.7,17.6,0.0,0.6
2026-02-09,-8.8,-15.1,14.5,0.0,0.0
2026-02-10,-8.3,-21.0,16.4,0.0,0.0
2026-02-11,-0.9,-9.9,16.9,0.0,0.0
2026-02-12,2.0,-0.4,18.0,0.2,0.2
2026-02-13,2.4,0.6,12.5,0.0,0.0
2026-02-14,3.7,0.3,13.9,0.5,0.5
2026-02-15,1.2,-2.1,17.7,0.0,10.8
2026-02-16,-2.7,-8.6,22.0,0.0,2.3
2026-02-17,-7.0,-11.1,10.1,0.0,0.0
2026-02-18,-8.8,-12.6,14.8,0.0,1.9
2026-02-19,-3.9,-9.2,17.5,0.0,2.6
2026-02-20,-2.0,-8.4,15.1,0.0,0.0
2026-02-21,-5.4,-16.2,11.4,0.0,0.0
2026-02-22,1.2,-11.9,12.9,0.0,0.0
2026-02-23,2.7,0.9,17.8,4.1,5.7
2026-02-24,4.3,0.2,15.2,0.7,0.7
2026-02-25,1.2,-0.4,13.7,0.5,3.2
2026-02-26,-1.0,-3.5,15.7,0.0,0.0
2026-02-27,-0.8,-3.0,10.6,0.0,0.0
2026-02-28,1.6,-4.6,12.9,0.0,0.0
2026-03-01,4.6,-3.2,14.0,0.0,0.0
2026-03-02,5.8,0.5,15.1,0.0,0.0
2026-03-03,2.9,0.4,14.8,0.0,0.0
2026-03-04,7.2,-3.2,17.1,0.0,0.0
2026-03-05,6.6,-0.9,18.0,0.0,0.0
2026-03-06,4.2,0.3,16.9,0.0,0.0
2026-03-07,8.5,-1.8,11.2,0.0,0.0
2026-03-08,8.4,-0.6,9.7,0.0,0.0
2026-03-09,11.9,0.3,11.1,0.0,0.0
2026-03-10,13.3,0.8,14.7,0.0,0.0
2026-03-11,14.8,3.2,15.0,0.0,0.0
2026-03-12,13.9,2.5,13.7,0.0,0.0
